CAR_NAME,MODEL,NO_OF_YEARS,DEALER,MILES_DRIVEN,RATE,NO_OF_REVIEWS,PRICE
Audi Q7 3.0T Premium Plus,2014,7,Ravenite Motor Cars,97074,4.7,525,17950
Audi A4 2.0T Premium Plus,2019,2,CarMax Naperville - Now offering Curbside Pickup,10227,4.8,630,38998
Audi Q8 3.0T Prestige,2019,2,Ultimo Motors West,27556,4.8,630,52999
Audi R8 5.2 V10 performance,2019,1,Chicago Motor Cars,14052,4.8,654,52999
Audi A6 3.0T Premium Plus,2016,5,Chicago Motor Cars,71302,4.7,169,25800
Audi e-tron Prestige,2019,2,Porsche Downtown Chicago,13344,4.7,1022,52999
Audi Q3 2.0T Prestige,2019,1,Mike Anderson Chevrolet of Chicago,24098,4.6,1419,40995
Audi A4 2.0T Premium Plus,2018,3,City Volkswagen Of Evanston,27780,4.6,44,31597
Audi A3 2.0T Premium Plus,2015,6,The Autobarn Mazda of Evanston,74426,4.6,44,19695
Audi Q5 45 Premium,2019,1,Al Piemonte Nissan,10317,4.7,156,45000
Audi S4 3.0 Prestige,2011,10,Chicago Cars US,97074,4.6,44,17985
Audi S4 3.0 Prestige,2010,11,Chicago Cars US,97074,4.1,1943,16985
Audi Q7 3.0T Prestige,2017,4,Driven Auto Sales,97074,4.2,361,33980
Audi A6 3.0T Prestige quattro,2013,8,Chicago Cars US,97074,4.2,361,15985
Audi S4 3.0T Premium Plus,2013,8,Sherman Dodge Chrysler Jeep RAM,97074,4.2,361,20474
Audi Q3 2.0T Premium Plus,2019,2,Audi Morton Grove,21225,4.2,361,36999
Audi e-tron Prestige,2019,2,Audi Morton Grove,6893,4.2,361,52999
Audi Q5 45 Premium,2019,1,Audi Morton Grove,3875,4.8,662,45995
Audi SQ5 3.0T Premium,2019,1,Audi Morton Grove,8748,4.2,172,52999
Audi TT 2.0T,2008,13,Chicago Fine Motors,97074,4.1,119,9650
Audi Q5 3.0T Premium Plus,2017,4,KNB Motors Inc,97074,4.1,119,26495
Audi Q7 3.0T Premium Plus,2013,8,S&M Auto Sales,97074,4.8,68,14988
Audi A7 3.0T Premium Plus,2019,2,SJL Motors,6321,4.7,59,52999
Audi A8 L 55,2019,2,SJL Motors,6900,4.1,549,52999
Audi A7 3.0T Prestige,2019,2,Motorcars Express,12731,4.8,2,52999
Audi A4 2.0T Premium Plus,2013,8,CarNeed,42321,4.8,150,19495
Audi A8 L 3.0T,2019,2,Chicago Auto Place,34586,4.7,671,52999
Audi S4 3.0T Premium Plus,2018,3,Chicago Auto Place,21575,4.8,1529,43888
Audi S3 2.0T Prestige,2018,3,Glenview Luxury Imports,67409,4.4,1113,37888
Audi Q5 2.0T Premium,2015,6,Napleton Hyundai of Glenview,75061,4.6,322,19901
Audi Q5 2.0T Premium Plus,2015,6,Jennings Chevy / VW,62895,4.1,60,22488
Audi Q5 Premium Plus,2011,10,Castle Chevrolet of Villa Park,97074,4.6,322,13477
Audi A8 L 3.0T,2013,8,Highline Auto Sales,79298,4.6,322,26995
Audi Q7 3.0T Premium Plus,2013,8,Highline Auto Sales,86204,4.5,67,19775
Audi A4 2.0T Premium Plus,2016,5,Highline Auto Sales,88996,4.7,603,19995
Audi A4 2.0T Premium,2014,7,Bose Motors,75584,4.7,603,18995
Audi A6 2.0T Premium Plus quattro,2014,7,Adam Auto Group,97074,4.7,1108,14894
